"Platform","Offer","Country","Ad Title","Revenue Prediction","Leads","Revenue Per Lead","Top 10 Keywords"
"facebook","Immunity Booster PR","US","how to get rid of ulcerative colitis",121125.5455,225030,0.538263989,"Velsipity Pills, Plaque Psoriasis Videos, Migraine Therapy Near Me, Rinvoq Pills, Velsipity Pills,Plaque Psoriasis Videos, Plaque Psoriasis Videos,Velsipity Pills, Recovery Facilities Near Me, Managing Macular Degeneration, velsipity pills, Velsipity Pills,Rinvoq Pills"
"tiktok","Dental Implants PR","US","dental implants",51008.33894,48645,1.048583389,"Full Mouth Dental Implants For $99 (see Dentists Nearby), I Need Dental Implants Near Me Fast, Find Low Cost Dental Implants Near Me, Most Affordable Dental Implants Near Me, Dental Implants Near Me Low Cost, The Cheapest Dental Implants, Fix My Teeth Near Me, Full Mouth Dental Implants, Dental Implants In Houston, Dental Implant Prices"
"mgid","Crohn's Disease Treatment PR","US","crohn's disease - usual symptoms (click here to take a look)",47021.64257,94398,0.4981211739,"Crohn's Disease Pictures, Crohn's Symptoms in Women, Active Crohns, Crohn's Symptoms In Women, Early Crohns, Crohns Symptoms, Crohn's Disease Symptoms In Females Texas, Crohn's Disease Symptoms In Females Florida, Crohn's Disease Pictures,Crohn's Symptoms in Women, Crohn's Disease Symptoms In Females California"
"tiktok","Depression Test PR","US","depression test",46789.85048,106301,0.4401637848,"Take Depression Test, Free Depression Test, Depression Test, Take Depression Quiz, Take Depression Test,Free Depression Test, Depression Test For Teens, Free Depression Test,Take Depression Test, take depression test, Depression And Anxiety Test, Depression Quiz"
"tiktok","Orthodontist PR","GB","orthodontist",38830.04352,31330,1.239388558,"Fix My Teeth Near Me, I Need Dental Implants Near Me Fast, Dental Implants Near Me Low Cost, The Cheapest Dental Implants, Most Affordable Dental Implants Near Me, Find Low Cost Dental Implants Near Me, Cheaper Dental Implants, Affordable Dental Implants Cost Near You, Cheap Dentures and Implants, Orthodontist In Liverpool"
"website-gdnnative","Bipolar Treatment PR","US","bipolar treatment",33015.15385,38975,0.8470854098,"Online Consultant Psychiatrist, Substance Abuse Disorder Treatment, Online Depression, Rexulti Medication, Bipolar Specialist Near Me, Autism Center, Depression Counseling, Online Psychologist Counseling, Online Consultant Psychiatrist,Substance Abuse Disorder Treatment, Anxiety Depression Treatment Nearby"
"mgid","Crohn's Disease Treatment PR","US","crohn's disease - common symptoms (click here to take a look)",32506.59551,61563,0.5280216283,"Crohn's Disease Pictures, Crohn's Symptoms in Women, Active Crohns, Crohn's Disease Pictures,Crohn's Symptoms in Women, Crohn's Symptoms in Women,Crohn's Disease Pictures, Crohn's Disease Symptoms In Females United States, Crohn's Symptoms In Women, Crohn's Disease Pictures,Active Crohns, Active Crohns,Crohn's Disease Pictures, crohn's disease pictures"
"website-gdnnative","Lung Cancer Treatment PR","US","lung cancer",31236.89744,31897,0.9793051834,"Her2 Metastatic Breast Cancer Treatment, Breast Cancer Medications, Treatment Center Nearby, Botox Sale, Advanced Prostate Cancer Resources, Recovery Facilities Near Me, Breast Cancer Treatment for Women, Invisalign Clear Braces In, Triple Negative Breast Cancer Therapy, Therapy Center Nearby"
"facebook","Online Courses & Classes PR","PE","onlinecourses",27874.07961,112292,0.2482285435,"Estudiar Virtualmente, Cursos Universitarios En Línea, Universidades Carreras, Cursos con Certificado, Estudiar Virtualmente,Cursos Universitarios En Línea, Cursos Universitarios En Línea,Estudiar Virtualmente, Estudiar en Linea Universidad, Universidades Carreras,Estudiar Virtualmente, Estudiar Virtualmente,Universidades Carreras, Universidades Carreras,Cursos Universitarios En Línea"
"website-gdnnative","Cancer Treatment PR","US","cancer treatment",26564.76923,26364,1.00761528,"Breast Cancer Medications, Her2 Metastatic Breast Cancer Treatment, Treatment Centers Drug, Advanced Prostate Cancer Resources, Botox Sale, Breast Cancer Treatment for Women, Recovery Facilities Near Me, Treatment Center Nearby, Enhertu Chemotherapy, Therapy Centers Nearby"
"facebook","Migraine Treatment PR","US","migraine treatment",24922.35621,28110,0.8866010746,"Migraine Relief Near Me, Migraine Treatment Centers Near Me, Best Migraine Treatment Near Me, Migraine Therapy Near Me, Headache Specialist In My Area, Migraine Massages In Los Angeles, Ms Medication Oral, Migraine Massages In Houston, Migraine Relief Nearby, Migraine Massage Near Me"
"tiktok","Online & Digital Marketing PR","US","digital marketing",23156.70732,44034,0.525882439,"Digital Marketing, Digital Market, Email Marketing, Digital Marketing Online Advertising, Product Advertising, Marketing Affiliates, Digital Marketing Business, Market My Small Business, Tiktok for Businesses, Digital Marketing Agency"
"facebook","Home Renovation PR","US","homerenovation",21836.84337,9086,2.40335058,"Find Home Renovation Experts Near Me, Find Home Remodeling Companies In Florida, Find Home Remodeling Companies In Texas, Find Home Remodeling Companies In New York, Find Home Remodeling Companies In California, Cheap Home Remodeling Ideas In California, Cheap Home Remodeling Ideas In Florida, Find Home Renovation Experts Near Me California, Find Home Remodeling Companies In New Jersey, Find Home Remodeling Companies In Massachusetts"
"tiktok","Medical Assistant Training PR","US","medical assistant program",21753.28049,22029,0.9874837935,"Medical Assistant Classes Near Me, Medical Assistant Programs, Medical Assistant Program In Miami, Medical Assistant Program In Los Angeles, Medical Assistant Program In Brooklyn, Medical Assistant Program In Houston, Medical Assistant Program In Chicago, Medical Assistance, Medical Assistant Program In Tampa, Medical Assistant Jobs"
"facebook","Car Loans PR","MX","obtenga la aprobación en 3 sencillos pasos",21663.31325,93365,0.2320282039,"Cotizar Carro Seminuevo, Créditos Automotrices Sin Enganche Ciudad De México, Financiamiento De Autos Sin Comprobar Ingresos, Créditos Automotrices Sin Enganche Guadalajara, Lista de Precios Autos, Créditos Automotrices Sin Enganche Tijuana, Créditos Automotrices Sin Enganche, Créditos Automotrices Sin Enganche Nuevo León, Créditos Automotrices Sin Enganche Puebla De Zaragoza, Créditos Automotrices Sin Enganche Xalapa"
"website-gdnnative","Prostate Cancer Treatment PR","US","prostate cancer treatment",20727.89744,20974,0.9882663028,"Her2 Metastatic Breast Cancer Treatment, Therapy Center Nearby, Breast Cancer Medications, Breast Cancer Treatment for Women, Advanced Prostate Cancer Resources, Treatment Centers Nearby, Treatment Center Nearby, Treatment Centers Drug, B Cell Lymphoma Therapy, Recovery Facilities Near Me"
"website-gdnnative","Anxiety Treatment PR","US","anxiety treatment centers",19924.76923,21950,0.9077343613,"Laser Treatment for Skin, Treatment Center Nearby, Wastewater Treatment, Water Removal Services, Effective Migraine Medication, Best Rheumatoid Arthritis Treatment, Rexulti Medication, Treatment Centers Nearby, Water Treatment, Water Treatment Systems"
"facebook","Dental Implants PR","US","dental implants",19116.97184,22070,0.8661971836,"Invisible Dental Aligners Near Me, Nearby Invisible Dental Aligners Dentist In My Area, Dental Implant Prices, I Need Dental Implants Near Me Fast, Fix My Teeth Near Me, Full Mouth Dental Implants For $0 (see Dentists Near Me), Dental Implants Near Me Low Cost, Apply For Free Dental Implants, Dental Implants In My Area In California, Dental Implants In My Area In Texas"
"mgid","Crohn's Disease Treatment PR","US","crohn's disease - usual symptoms! (click here to take a look!)",18590.20823,37682,0.4933445208,"Crohn's Disease Pictures, Crohn's Symptoms in Women, Crohn's Symptoms In Women, Active Crohns, Early Crohns, Early Signs Of Crohn's Disease, Crohn's Disease Pictures,Crohn's Symptoms in Women, Crohns Symptoms, Crohn's Symptoms in Women,Crohn's Disease Pictures, Crohn's Disease Symptoms in Women"
"mgid","Crohn's Disease Treatment PR","US","first signs of crohn's disease that many females tend to ignore",18362.61637,39648,0.4631410506,"Crohn's Disease Pictures, Crohn's Symptoms in Women, Crohns Symptoms In Women, Crohn`s Disease Symptoms In Females, Early Crohns, Crohn's Disease Pictures,Crohn's Symptoms in Women, Crohn's Symptoms in Women,Crohn's Disease Pictures, Early Signs Of Crohn's Disease, Crohn's Symptoms In Women, Crohn's Disease Pictures,Crohns Symptoms In Women"
"facebook","Bathroom Remodeling PR","US","create a relaxing oasis - remodel your bathroom!",17921.0411,2569,6.975882093,"Bathroom Remodel Companies Nearby, Bathroom Remodel Company, Bathroom Remodeling Contractors, Bathroom Renovation, Bathroom Remodels, Bathroom Remodel Near Me, Bathroom Remodel, Bathroom Remodeling Companies, Bathroom Renovation Company, Remodeling Bathroom"
"mgid","TNBC Treatment PR","US","dangerous signs that you have tnbc (take a look)",17068.19235,44590,0.3827807211,"Triple Negative Signs and Treatment, What Is Tnbc, Tnbc Treatment In Texas, Tnbc Treatment In Florida, Tnbc Treatment In California, Tnbc Treatment In United States, Tnbc Treatment In Ohio, Tnbc Treatment In Pennsylvania, Tnbc Treatment In Michigan, Tnbc Treatment In North Carolina"
"facebook","Solar Systems & Panels PR","US","solar companies",17003.3038,4200,4.048405666,"Get Best Rates For Home Solar Panels In {region}, Solar Panels, Best Budget Solar Panels For Home, Explore Solar Panels In {region}, Find Cheap Quotes For Home Solar Panels In Houston, Solar Energy, Commercial Solar Installers Near Me, Local Solar Panel Installers Near Me, Solar Company, Find Cheap Quotes For Home Solar Panels In Philadelphia"
"facebook","Solar Systems & Panels PR","US","be the change, solar powers the way forward",16913.47945,3105,5.447175347,"Find Solar Leads, Commercial Solar Installers Near Me, Solar Company, Solar Panels, Local Solar Panel Installers Near Me, Solar Energy System, Solar Pv, Solar Power System, Solar Panels For Sale, Solar Power Systems"
"facebook","Massage PR","US","best massages in 2024",16851.66327,26751,0.6299451708,"Massage Places Near Me, Massage, Migraine Massages In California, Migraine Massages In Los Angeles, Massage Near Me, Migraine Massages In Houston, Relaxation Massage Spa, Migraine Massages In New York, Migraine Massages In New Jersey, Migraine Massages In Miami"
"facebook","Bathroom Remodeling PR","US","bathroom remodeling companies",16767.5443,1974,8.494196709,"Cheap Quotes For Bathroom Renovation In {region}, Find Bath Remodeling Experts Near Me, Get Quotes For Bathroom Remodeling In San Antonio, Get Quotes For Bathroom Remodeling In Houston, Get Quotes For Bathroom Remodeling In St Louis, Get Quotes For Bathroom Remodeling In Dallas, Get Quotes For Bathroom Remodeling In Brooklyn, Get Quotes For Bathroom Remodeling In Dayton, Get Quotes For Bathroom Remodeling In Fort Lauderdale, Get Quotes For Bathroom Remodeling In Cleveland"
"facebook","Dental Implants PR","US","dental implant schools near me",16561.45176,28943,0.5722092306,"Dental Implant Schools Near Me, Full Mouth Dental Implants For $0, Fix My Teeth Near Me, Dental Implant Schools Near Me,Full Mouth Dental Implants For $0, Full Mouth Dental Implants For $0,Dental Implant Schools Near Me, Fix My Teeth Near Me,Dental Implant Schools Near Me, Dental Implant Schools Near Me,Fix My Teeth Near Me, I Need Dental Implants Near Me Fast, Dental Implant Schools In Houston, dental implant schools near me"
"website-gdnnative","Cyber Security PR","US","cyber security",15918.15385,16766,0.9494306242,"Secure Compliant Fax, Computer Security, Wiz Security, Fortinet Network Security Solutions, Cyber Security, Siem Network Security, Cybersecurity Monitoring Services, Free Cyber Security Certifications, Financial Advisories, Can i Qualify for Disability"
"mgid","Cremation Services PR","US","what happens during cremation? a look at it will surprise you",15548.50655,54297,0.2863603248,"Cremations, Cremation In Florida, Cremation In California, Cremation In Texas, Cremation In New York, Cremation In Pennsylvania, Cremation In Ohio, Cremation In Virginia, Cremation In North Carolina, Cremation"
"mgid","Psoriatic Arthritis Treatment PR","US","psoriatic arthritis warning symptoms (don't ignore them)",15534.7619,23827,0.6519814456,"Common Signs Of Psoriatic Arthritis In Seniors, First Hints Of Psoriatic Arthritis, Psoriatic Arthritis Symptoms And Treatment, Common Signs Of Psoriatic Arthritis, Common Signs Of Psoriatic Arthritis In Seniors,First Hints Of Psoriatic Arthritis, First Hints Of Psoriatic Arthritis,Common Signs Of Psoriatic Arthritis In Seniors, What Does Psoriatic Arthritis Look Like, If You Have Psoriatic Arthritis, Psoriatic Arthritis in Hands, Common Signs Of Psoriatic Arthritis In Seniors,Psoriatic Arthritis Symptoms And Treatment"
"website-gdnnative","Bladder Cancer Treatment PR","US","bladder cancer treatment",15458.97436,15734,0.9825202974,"Her2 Metastatic Breast Cancer Treatment, Advanced Prostate Cancer Resources, Treatment Centers Drug, Breast Cancer Medications, Therapy Center Nearby, Botox Sale, Recovery Facilities Near Me, Enhertu Chemotherapy, B Cell Lymphoma Therapy, Invisalign Clear Braces In"
